chapter,text
Chapter 2,"the mantel stood an electric clock, precisely like that in Mr. Fogg’s"
Chapter 2,"bedchamber, both beating the same second at the same instant. “That’s"
Chapter 2,"good, that’ll do,” said Passepartout to himself."
Chapter 2,"He suddenly observed, hung over the clock, a card which, upon"
Chapter 2,"inspection, proved to be a programme of the daily routine of the house."
Chapter 2,"It comprised all that was required of the servant, from eight in the"
Chapter 2,"morning, exactly at which hour Phileas Fogg rose, till half-past"
Chapter 2,"eleven, when he left the house for the Reform Club—all the details of"
Chapter 2,"service, the tea and toast at twenty-three minutes past eight, the"
Chapter 2,"shaving-water at thirty-seven minutes past nine, and the toilet at"
Chapter 2,twenty minutes before ten. Everything was regulated and foreseen that
Chapter 2,"was to be done from half-past eleven a.m. till midnight, the hour at"
Chapter 2,which the methodical gentleman retired.
Chapter 2,Mr. Fogg’s wardrobe was amply supplied and in the best taste. Each pair
Chapter 2,"of trousers, coat, and vest bore a number, indicating the time of year"
Chapter 2,and season at which they were in turn to be laid out for wearing; and
Chapter 2,"the same system was applied to the master’s shoes. In short, the house"
Chapter 2,"in Saville Row, which must have been a very temple of disorder and"
Chapter 2,"unrest under the illustrious but dissipated Sheridan, was cosiness,"
Chapter 2,"comfort, and method idealised. There was no study, nor were there"
Chapter 2,"books, which would have been quite useless to Mr. Fogg; for at the"
Chapter 2,"Reform two libraries, one of general literature and the other of law"
Chapter 2,"and politics, were at his service. A moderate-sized safe stood in his"
Chapter 2,"bedroom, constructed so as to defy fire as well as burglars; but"
Chapter 2,Passepartout found neither arms nor hunting weapons anywhere;
Chapter 2,everything betrayed the most tranquil and peaceable habits.
Chapter 2,"Having scrutinised the house from top to bottom, he rubbed his hands, a"
Chapter 2,"broad smile overspread his features, and he said joyfully, “This is"
Chapter 2,"just what I wanted! Ah, we shall get on together, Mr. Fogg and I! What"
Chapter 2,"a domestic and regular gentleman! A real machine; well, I don’t mind"
Chapter 2,serving a machine.”
Chapter 3,CHAPTER III.
Chapter 3,IN WHICH A CONVERSATION TAKES PLACE WHICH SEEMS LIKELY TO COST PHILEAS
Chapter 3,FOGG DEAR
Chapter 3,"Phileas Fogg, having shut the door of his house at half-past eleven,"
Chapter 3,and having put his right foot before his left five hundred and
Chapter 3,"seventy-five times, and his left foot before his right five hundred and"
Chapter 3,"seventy-six times, reached the Reform Club, an imposing edifice in Pall"
Chapter 3,"Mall, which could not have cost less than three millions. He repaired"
Chapter 3,"at once to the dining-room, the nine windows of which open upon a"
Chapter 3,"tasteful garden, where the trees were already gilded with an autumn"
Chapter 3,"colouring; and took his place at the habitual table, the cover of which"
Chapter 3,"had already been laid for him. His breakfast consisted of a side-dish,"
Chapter 3,"a broiled fish with Reading sauce, a scarlet slice of roast beef"
Chapter 3,"garnished with mushrooms, a rhubarb and gooseberry tart, and a morsel"
Chapter 3,"of Cheshire cheese, the whole being washed down with several cups of"
Chapter 3,"tea, for which the Reform is famous. He rose at thirteen minutes to"
Chapter 3,"one, and directed his steps towards the large hall, a sumptuous"
Chapter 3,apartment adorned with lavishly-framed paintings. A flunkey handed him
Chapter 3,"an uncut _Times_, which he proceeded to cut with a skill which betrayed"
Chapter 3,familiarity with this delicate operation. The perusal of this paper
Chapter 3,"absorbed Phileas Fogg until a quarter before four, whilst the"
Chapter 3,"_Standard_, his next task, occupied him till the dinner hour. Dinner"
Chapter 3,"passed as breakfast had done, and Mr. Fogg re-appeared in the"
Chapter 3,reading-room and sat down to the _Pall Mall_ at twenty minutes before
Chapter 3,six. Half an hour later several members of the Reform came in and drew
Chapter 3,"up to the fireplace, where a coal fire was steadily burning. They were"
Chapter 3,"Mr. Fogg’s usual partners at whist: Andrew Stuart, an engineer; John"
Chapter 3,"Sullivan and Samuel Fallentin, bankers; Thomas Flanagan, a brewer; and"
Chapter 3,"Gauthier Ralph, one of the Directors of the Bank of England—all rich"
Chapter 3,"and highly respectable personages, even in a club which comprises the"
Chapter 3,princes of English trade and finance.
Chapter 3,"“Well, Ralph,” said Thomas Flanagan, “what about that robbery?”"
Chapter 3,"“Oh,” replied Stuart, “the Bank will lose the money.”"
Chapter 3,"“On the contrary,” broke in Ralph, “I hope we may put our hands on the"
Chapter 3,robber. Skilful detectives have been sent to all the principal ports of
Chapter 3,"America and the Continent, and he’ll be a clever fellow if he slips"
Chapter 3,through their fingers.”
Chapter 3,“But have you got the robber’s description?” asked Stuart.
Chapter 3,"“In the first place, he is no robber at all,” returned Ralph,"
Chapter 3,positively.
Chapter 3,"“What! a fellow who makes off with fifty-five thousand pounds, no"
Chapter 3,robber?”
Chapter 3,“No.”
Chapter 3,"“Perhaps he’s a manufacturer, then.”"
Chapter 3,“The _Daily Telegraph_ says that he is a gentleman.”
Chapter 3,"It was Phileas Fogg, whose head now emerged from behind his newspapers,"
Chapter 3,"who made this remark. He bowed to his friends, and entered into the"
Chapter 3,"conversation. The affair which formed its subject, and which was town"
Chapter 3,"talk, had occurred three days before at the Bank of England. A package"
Chapter 3,"of banknotes, to the value of fifty-five thousand pounds, had been"
Chapter 3,"taken from the principal cashier’s table, that functionary being at the"
Chapter 3,moment engaged in registering the receipt of three shillings and
Chapter 3,"sixpence. Of course, he could not have his eyes everywhere. Let it be"
Chapter 3,observed that the Bank of England reposes a touching confidence in the
Chapter 3,honesty of the public. There are neither guards nor gratings to protect
Chapter 3,"its treasures; gold, silver, banknotes are freely exposed, at the mercy"
Chapter 3,"of the first comer. A keen observer of English customs relates that,"
Chapter 3,"being in one of the rooms of the Bank one day, he had the curiosity to"
Chapter 3,examine a gold ingot weighing some seven or eight pounds. He took it
Chapter 3,"up, scrutinised it, passed it to his neighbour, he to the next man, and"
Chapter 3,"so on until the ingot, going from hand to hand, was transferred to the"
Chapter 3,end of a dark entry; nor did it return to its place for half an hour.
Chapter 3,"Meanwhile, the cashier had not so much as raised his head. But in the"
Chapter 3,present instance things had not gone so smoothly. The package of notes
Chapter 3,not being found when five o’clock sounded from the ponderous clock in
Chapter 3,"the “drawing office,” the amount was passed to the account of profit"
Chapter 3,"and loss. As soon as the robbery was discovered, picked detectives"
Chapter 3,"hastened off to Liverpool, Glasgow, Havre, Suez, Brindisi, New York,"
Chapter 3,"and other ports, inspired by the proffered reward of two thousand"
Chapter 3,"pounds, and five per cent. on the sum that might be recovered."
Chapter 3,Detectives were also charged with narrowly watching those who arrived
Chapter 3,"at or left London by rail, and a judicial examination was at once"
Chapter 3,entered upon.
Chapter 3,"There were real grounds for supposing, as the _Daily Telegraph_ said,"
Chapter 3,that the thief did not belong to a professional band. On the day of the
Chapter 3,"robbery a well-dressed gentleman of polished manners, and with a"
Chapter 3,"well-to-do air, had been observed going to and fro in the paying room"
Chapter 3,where the crime was committed. A description of him was easily procured
Chapter 3,"and sent to the detectives; and some hopeful spirits, of whom Ralph was"
Chapter 3,"one, did not despair of his apprehension. The papers and clubs were"
Chapter 3,"full of the affair, and everywhere people were discussing the"
Chapter 3,probabilities of a successful pursuit; and the Reform Club was
Chapter 3,"especially agitated, several of its members being Bank officials."
Chapter 3,Ralph would not concede that the work of the detectives was likely to
Chapter 3,"be in vain, for he thought that the prize offered would greatly"
Chapter 3,stimulate their zeal and activity. But Stuart was far from sharing this
Chapter 3,"confidence; and, as they placed themselves at the whist-table, they"
Chapter 3,"continued to argue the matter. Stuart and Flanagan played together,"
Chapter 3,while Phileas Fogg had Fallentin for his partner. As the game proceeded
Chapter 3,"the conversation ceased, excepting between the rubbers, when it revived"
Chapter 3,again.
Chapter 3,"“I maintain,” said Stuart, “that the chances are in favour of the"
Chapter 3,"thief, who must be a shrewd fellow.”"
Chapter 3,"“Well, but where can he fly to?” asked Ralph. “No country is safe for"
Chapter 3,him.”
Chapter 3,“Pshaw!”
Chapter 3,"“Where could he go, then?”"
Chapter 3,"“Oh, I don’t know that. The world is big enough.”"
Chapter 3,"“It was once,” said Phileas Fogg, in a low tone. “Cut, sir,” he added,"
Chapter 3,handing the cards to Thomas Flanagan.
Chapter 3,"The discussion fell during the rubber, after which Stuart took up its"
Chapter 3,thread.
Chapter 3,“What do you mean by ‘once’? Has the world grown smaller?”
Chapter 3,"“Certainly,” returned Ralph. “I agree with Mr. Fogg. The world has"
Chapter 3,"grown smaller, since a man can now go round it ten times more quickly"
Chapter 3,than a hundred years ago. And that is why the search for this thief
Chapter 3,will be more likely to succeed.”
Chapter 3,“And also why the thief can get away more easily.”
Chapter 3,"“Be so good as to play, Mr. Stuart,” said Phileas Fogg."
Chapter 3,"But the incredulous Stuart was not convinced, and when the hand was"
Chapter 3,"finished, said eagerly: “You have a strange way, Ralph, of proving that"
Chapter 3,"the world has grown smaller. So, because you can go round it in three"
Chapter 3,months—”
Chapter 3,"“In eighty days,” interrupted Phileas Fogg."
Chapter 3,"“That is true, gentlemen,” added John Sullivan. “Only eighty days, now"
Chapter 3,"that the section between Rothal and Allahabad, on the Great Indian"
Chapter 3,"Peninsula Railway, has been opened. Here is the estimate made by the"
Chapter 3,_Daily Telegraph:_—
Chapter 3,"From London to Suez _viâ_ Mont Cenis and Brindisi, by rail and"
Chapter 3,steamboats ................. 7 days
Chapter 3,"From Suez to Bombay, by steamer .................... 13 ”"
Chapter 3,"From Bombay to Calcutta, by rail ................... 3 ”"
Chapter 3,"From Calcutta to Hong Kong, by steamer ............. 13 ”"
Chapter 3,"From Hong Kong to Yokohama (Japan), by steamer ..... 6 ”"
Chapter 3,"From Yokohama to San Francisco, by steamer ......... 22 ”"
Chapter 3,"From San Francisco to New York, by rail ............. 7 ”"
Chapter 3,"From New York to London, by steamer and rail ........ 9 ”"
Chapter 3,-------
Chapter 3,Total ............................................ 80 days.”
Chapter 3,"“Yes, in eighty days!” exclaimed Stuart, who in his excitement made a"
Chapter 3,"false deal. “But that doesn’t take into account bad weather, contrary"
Chapter 3,"winds, shipwrecks, railway accidents, and so on.”"
Chapter 3,"“All included,” returned Phileas Fogg, continuing to play despite the"
Chapter 3,discussion.
Chapter 3,"“But suppose the Hindoos or Indians pull up the rails,” replied Stuart;"
Chapter 3,"“suppose they stop the trains, pillage the luggage-vans, and scalp the"
Chapter 3,passengers!”
Chapter 3,"“All included,” calmly retorted Fogg; adding, as he threw down the"
Chapter 3,"cards, “Two trumps.”"
Chapter 3,"Stuart, whose turn it was to deal, gathered them up, and went on: “You"
Chapter 3,"are right, theoretically, Mr. Fogg, but practically—”"
Chapter 3,"“Practically also, Mr. Stuart.”"
Chapter 3,“I’d like to see you do it in eighty days.”
Chapter 3,“It depends on you. Shall we go?”
Chapter 3,“Heaven preserve me! But I would wager four thousand pounds that such a
Chapter 3,"journey, made under these conditions, is impossible.”"
Chapter 3,"“Quite possible, on the contrary,” returned Mr. Fogg."
Chapter 3,"“Well, make it, then!”"
Chapter 3,“The journey round the world in eighty days?”
Chapter 3,“Yes.”
Chapter 3,“I should like nothing better.”
Chapter 3,“When?”
Chapter 3,“At once. Only I warn you that I shall do it at your expense.”
Chapter 3,"“It’s absurd!” cried Stuart, who was beginning to be annoyed at the"
Chapter 3,"persistency of his friend. “Come, let’s go on with the game.”"
Chapter 3,"“Deal over again, then,” said Phileas Fogg. “There’s a false deal.”"
Chapter 3,Stuart took up the pack with a feverish hand; then suddenly put them
Chapter 3,down again.
Chapter 3,"“Well, Mr. Fogg,” said he, “it shall be so: I will wager the four"
Chapter 3,thousand on it.”
Chapter 3,"“Calm yourself, my dear Stuart,” said Fallentin. “It’s only a joke.”"
Chapter 3,"“When I say I’ll wager,” returned Stuart, “I mean it.”"
Chapter 3,"“All right,” said Mr. Fogg; and, turning to the others, he continued:"
Chapter 3,“I have a deposit of twenty thousand at Baring’s which I will willingly
Chapter 3,risk upon it.”
Chapter 3,"“Twenty thousand pounds!” cried Sullivan. “Twenty thousand pounds,"
Chapter 3,which you would lose by a single accidental delay!”
Chapter 3,"“The unforeseen does not exist,” quietly replied Phileas Fogg."
Chapter 3,"“But, Mr. Fogg, eighty days are only the estimate of the least possible"
Chapter 3,time in which the journey can be made.”
Chapter 3,“A well-used minimum suffices for everything.”
Chapter 3,"“But, in order not to exceed it, you must jump mathematically from the"
Chapter 3,"trains upon the steamers, and from the steamers upon the trains again.”"
Chapter 3,“I will jump—mathematically.”
Chapter 3,“You are joking.”
Chapter 3,“A true Englishman doesn’t joke when he is talking about so serious a
Chapter 3,"thing as a wager,” replied Phileas Fogg, solemnly. “I will bet twenty"
Chapter 3,thousand pounds against anyone who wishes that I will make the tour of
Chapter 3,"the world in eighty days or less; in nineteen hundred and twenty hours,"
Chapter 3,or a hundred and fifteen thousand two hundred minutes. Do you accept?”
Chapter 3,"“We accept,” replied Messrs. Stuart, Fallentin, Sullivan, Flanagan, and"
Chapter 3,"Ralph, after consulting each other."
Chapter 3,"“Good,” said Mr. Fogg. “The train leaves for Dover at a quarter before"
Chapter 3,nine. I will take it.”
Chapter 3,“This very evening?” asked Stuart.
Chapter 3,"“This very evening,” returned Phileas Fogg. He took out and consulted a"
Chapter 3,"pocket almanac, and added, “As today is Wednesday, the 2nd of October,"
Chapter 3,"I shall be due in London in this very room of the Reform Club, on"
Chapter 3,"Saturday, the 21st of December, at a quarter before nine p.m.; or else"
Chapter 3,"the twenty thousand pounds, now deposited in my name at Baring’s, will"
Chapter 3,"belong to you, in fact and in right, gentlemen. Here is a cheque for"
Chapter 3,the amount.”
Chapter 3,A memorandum of the wager was at once drawn up and signed by the six
Chapter 3,"parties, during which Phileas Fogg preserved a stoical composure. He"
Chapter 3,"certainly did not bet to win, and had only staked the twenty thousand"
Chapter 3,"pounds, half of his fortune, because he foresaw that he might have to"
Chapter 3,"expend the other half to carry out this difficult, not to say"
Chapter 3,"unattainable, project. As for his antagonists, they seemed much"
Chapter 3,"agitated; not so much by the value of their stake, as because they had"
Chapter 3,some scruples about betting under conditions so difficult to their
Chapter 3,friend.
Chapter 3,"The clock struck seven, and the party offered to suspend the game so"
Chapter 3,that Mr. Fogg might make his preparations for departure.
Chapter 3,"“I am quite ready now,” was his tranquil response. “Diamonds are"
Chapter 3,"trumps: be so good as to play, gentlemen.”"
Chapter 4,CHAPTER IV.
Chapter 4,"IN WHICH PHILEAS FOGG ASTOUNDS PASSEPARTOUT, HIS SERVANT"
Chapter 4,"Having won twenty guineas at whist, and taken leave of his friends,"
Chapter 4,"Phileas Fogg, at twenty-five minutes past seven, left the Reform Club."
Chapter 4,"Passepartout, who had conscientiously studied the programme of his"
Chapter 4,"duties, was more than surprised to see his master guilty of the"
Chapter 4,"inexactness of appearing at this unaccustomed hour; for, according to"
Chapter 4,"rule, he was not due in Saville Row until precisely midnight."
Chapter 4,"Mr. Fogg repaired to his bedroom, and called out, “Passepartout!”"
Chapter 4,Passepartout did not reply. It could not be he who was called; it was
Chapter 4,not the right hour.
Chapter 4,"“Passepartout!” repeated Mr. Fogg, without raising his voice."
Chapter 4,Passepartout made his appearance.
Chapter 4,"“I’ve called you twice,” observed his master."
Chapter 4,"“But it is not midnight,” responded the other, showing his watch."
Chapter 4,“I know it; I don’t blame you. We start for Dover and Calais in ten
Chapter 4,minutes.”
Chapter 4,A puzzled grin overspread Passepartout’s round face; clearly he had not
Chapter 4,comprehended his master.
Chapter 4,“Monsieur is going to leave home?”
Chapter 4,"“Yes,” returned Phileas Fogg. “We are going round the world.”"
Chapter 4,"Passepartout opened wide his eyes, raised his eyebrows, held up his"
Chapter 4,"hands, and seemed about to collapse, so overcome was he with stupefied"
Chapter 4,astonishment.
Chapter 4,“Round the world!” he murmured.
Chapter 4,"“In eighty days,” responded Mr. Fogg. “So we haven’t a moment to lose.”"
Chapter 4,"“But the trunks?” gasped Passepartout, unconsciously swaying his head"
Chapter 4,from right to left.
Chapter 4,"“We’ll have no trunks; only a carpet-bag, with two shirts and three"
Chapter 4,"pairs of stockings for me, and the same for you. We’ll buy our clothes"
Chapter 4,"on the way. Bring down my mackintosh and traveling-cloak, and some"
Chapter 4,"stout shoes, though we shall do little walking. Make haste!”"
Chapter 4,"Passepartout tried to reply, but could not. He went out, mounted to his"
Chapter 4,"own room, fell into a chair, and muttered: “That’s good, that is! And"
Chapter 4,"I, who wanted to remain quiet!”"
Chapter 4,He mechanically set about making the preparations for departure. Around
Chapter 4,"the world in eighty days! Was his master a fool? No. Was this a joke,"
Chapter 4,"then? They were going to Dover; good! To Calais; good again! After all,"
Chapter 4,"Passepartout, who had been away from France five years, would not be"
Chapter 4,sorry to set foot on his native soil again. Perhaps they would go as
Chapter 4,"far as Paris, and it would do his eyes good to see Paris once more. But"
Chapter 4,surely a gentleman so chary of his steps would stop there; no
Chapter 4,"doubt—but, then, it was none the less true that he was going away, this"
Chapter 4,so domestic person hitherto!
Chapter 4,"By eight o’clock Passepartout had packed the modest carpet-bag,"
Chapter 4,"containing the wardrobes of his master and himself; then, still"
Chapter 4,"troubled in mind, he carefully shut the door of his room, and descended"
Chapter 4,to Mr. Fogg.
Chapter 4,Mr. Fogg was quite ready. Under his arm might have been observed a
Chapter 4,red-bound copy of Bradshaw’s Continental Railway Steam Transit and
Chapter 4,"General Guide, with its timetables showing the arrival and departure of"
Chapter 4,"steamers and railways. He took the carpet-bag, opened it, and slipped"
Chapter 4,"into it a goodly roll of Bank of England notes, which would pass"
Chapter 4,wherever he might go.
Chapter 4,“You have forgotten nothing?” asked he.
Chapter 4,"“Nothing, monsieur.”"
Chapter 4,“My mackintosh and cloak?”
Chapter 4,“Here they are.”
Chapter 4,"“Good! Take this carpet-bag,” handing it to Passepartout. “Take good"
Chapter 4,"care of it, for there are twenty thousand pounds in it.”"
Chapter 4,"Passepartout nearly dropped the bag, as if the twenty thousand pounds"
Chapter 4,"were in gold, and weighed him down."
Chapter 4,"Master and man then descended, the street-door was double-locked, and"
Chapter 4,at the end of Saville Row they took a cab and drove rapidly to Charing
Chapter 4,Cross. The cab stopped before the railway station at twenty minutes
Chapter 4,"past eight. Passepartout jumped off the box and followed his master,"
Chapter 4,"who, after paying the cabman, was about to enter the station, when a"
Chapter 4,"poor beggar-woman, with a child in her arms, her naked feet smeared"
Chapter 4,"with mud, her head covered with a wretched bonnet, from which hung a"
Chapter 4,"tattered feather, and her shoulders shrouded in a ragged shawl,"
Chapter 4,"approached, and mournfully asked for alms."
Chapter 4,"Mr. Fogg took out the twenty guineas he had just won at whist, and"
Chapter 4,"handed them to the beggar, saying, “Here, my good woman. I’m glad that"
Chapter 4,I met you;” and passed on.
Chapter 4,Passepartout had a moist sensation about the eyes; his master’s action
Chapter 4,touched his susceptible heart.
Chapter 4,"Two first-class tickets for Paris having been speedily purchased, Mr."
Chapter 4,"Fogg was crossing the station to the train, when he perceived his five"
Chapter 4,friends of the Reform.
Chapter 4,"“Well, gentlemen,” said he, “I’m off, you see; and, if you will examine"
Chapter 4,"my passport when I get back, you will be able to judge whether I have"
Chapter 4,accomplished the journey agreed upon.”
Chapter 4,"“Oh, that would be quite unnecessary, Mr. Fogg,” said Ralph politely."
Chapter 4,"“We will trust your word, as a gentleman of honour.”"
Chapter 4,“You do not forget when you are due in London again?” asked Stuart.
Chapter 4,"“In eighty days; on Saturday, the 21st of December, 1872, at a quarter"
Chapter 4,"before nine p.m. Good-bye, gentlemen.”"
Chapter 4,Phileas Fogg and his servant seated themselves in a first-class
Chapter 4,carriage at twenty minutes before nine; five minutes later the whistle
Chapter 4,"screamed, and the train slowly glided out of the station."
Chapter 4,"The night was dark, and a fine, steady rain was falling. Phileas Fogg,"
Chapter 4,"snugly ensconced in his corner, did not open his lips. Passepartout,"
Chapter 4,"not yet recovered from his stupefaction, clung mechanically to the"
Chapter 4,"carpet-bag, with its enormous treasure."
Chapter 4,"Just as the train was whirling through Sydenham, Passepartout suddenly"
Chapter 4,uttered a cry of despair.
Chapter 4,“What’s the matter?” asked Mr. Fogg.
Chapter 4,“Alas! In my hurry—I—I forgot—”
Chapter 4,“What?”
Chapter 4,“To turn off the gas in my room!”
Chapter 4,"“Very well, young man,” returned Mr. Fogg, coolly; “it will burn—at"
Chapter 4,your expense.”
Chapter 5,CHAPTER V.
Chapter 5,"IN WHICH A NEW SPECIES OF FUNDS, UNKNOWN TO THE MONEYED MEN, APPEARS ON"
Chapter 5,’CHANGE
Chapter 5,Phileas Fogg rightly suspected that his departure from London would
Chapter 5,create a lively sensation at the West End. The news of the bet spread
Chapter 5,"through the Reform Club, and afforded an exciting topic of conversation"
Chapter 5,to its members. From the club it soon got into the papers throughout
Chapter 5,"England. The boasted “tour of the world” was talked about, disputed,"
Chapter 5,argued with as much warmth as if the subject were another Alabama
Chapter 5,"claim. Some took sides with Phileas Fogg, but the large majority shook"
Chapter 5,"their heads and declared against him; it was absurd, impossible, they"
Chapter 5,"declared, that the tour of the world could be made, except"
Chapter 5,"theoretically and on paper, in this minimum of time, and with the"
Chapter 5,"existing means of travelling. The _Times, Standard, Morning Post_, and"
Chapter 5,"_Daily News_, and twenty other highly respectable newspapers scouted"
Chapter 5,Mr. Fogg’s project as madness; the _Daily Telegraph_ alone hesitatingly
Chapter 5,"supported him. People in general thought him a lunatic, and blamed his"
Chapter 5,Reform Club friends for having accepted a wager which betrayed the
Chapter 5,mental aberration of its proposer.
Chapter 5,"Articles no less passionate than logical appeared on the question, for"
Chapter 5,geography is one of the pet subjects of the English; and the columns
Chapter 5,devoted to Phileas Fogg’s venture were eagerly devoured by all classes
Chapter 5,"of readers. At first some rash individuals, principally of the gentler"
Chapter 5,"sex, espoused his cause, which became still more popular when the"
Chapter 5,"_Illustrated London News_ came out with his portrait, copied from a"
Chapter 5,photograph in the Reform Club. A few readers of the _Daily Telegraph_
Chapter 5,"even dared to say, “Why not, after all? Stranger things have come to"
Chapter 5,pass.”
Chapter 5,"At last a long article appeared, on the 7th of October, in the bulletin"
Chapter 5,"of the Royal Geographical Society, which treated the question from"
Chapter 5,"every point of view, and demonstrated the utter folly of the"
Chapter 5,enterprise.
Chapter 5,"Everything, it said, was against the travellers, every obstacle imposed"
Chapter 5,alike by man and by nature. A miraculous agreement of the times of
Chapter 5,"departure and arrival, which was impossible, was absolutely necessary"
Chapter 5,"to his success. He might, perhaps, reckon on the arrival of trains at"
Chapter 5,"the designated hours, in Europe, where the distances were relatively"
Chapter 5,"moderate; but when he calculated upon crossing India in three days, and"
Chapter 5,"the United States in seven, could he rely beyond misgiving upon"
Chapter 5,"accomplishing his task? There were accidents to machinery, the"
Chapter 5,"liability of trains to run off the line, collisions, bad weather, the"
Chapter 5,blocking up by snow—were not all these against Phileas Fogg? Would he
Chapter 5,"not find himself, when travelling by steamer in winter, at the mercy of"
Chapter 5,the winds and fogs? Is it uncommon for the best ocean steamers to be
Chapter 5,two or three days behind time? But a single delay would suffice to
Chapter 5,fatally break the chain of communication; should Phileas Fogg once
Chapter 5,"miss, even by an hour; a steamer, he would have to wait for the next,"
Chapter 5,and that would irrevocably render his attempt vain.
Chapter 5,"This article made a great deal of noise, and, being copied into all the"
Chapter 5,"papers, seriously depressed the advocates of the rash tourist."
Chapter 5,"Everybody knows that England is the world of betting men, who are of a"
Chapter 5,higher class than mere gamblers; to bet is in the English temperament.
Chapter 5,"Not only the members of the Reform, but the general public, made heavy"
Chapter 5,"wagers for or against Phileas Fogg, who was set down in the betting"
Chapter 5,"books as if he were a race-horse. Bonds were issued, and made their"
Chapter 5,appearance on ’Change; “Phileas Fogg bonds” were offered at par or at a
Chapter 5,"premium, and a great business was done in them. But five days after the"
Chapter 5,"article in the bulletin of the Geographical Society appeared, the"
Chapter 5,demand began to subside: “Phileas Fogg” declined. They were offered by
